Үнэ,Талбай,Давхар,Ашиглалтын он,Дүүрэг
106110000.0,79.3,10,2023,1
64670000.0,49.0,11,2019,0
69250000.0,46.6,16,1997,5
119850000.0,70.3,13,2004,3
151300000.0,79.8,4,2016,3
61670000.0,62.7,1,1994,2
45170000.0,38.8,11,1985,1
46780000.0,37.5,9,1996,0
49020000.0,36.3,15,2008,4
33620000.0,30.2,10,1990,1
90270000.0,64.0,9,1998,5
93940000.0,82.3,5,2021,2
69370000.0,61.8,2,1988,0
30620000.0,25.0,15,1987,0
68490000.0,58.6,14,2001,0
68020000.0,59.1,3,1985,0
140700000.0,99.7,12,1986,5
44380000.0,35.8,6,1992,1
50050000.0,55.0,7,1989,2
171620000.0,92.7,14,2017,3
99800000.0,70.1,14,1989,5
131560000.0,72.1,4,2005,3
93090000.0,64.1,5,2013,4
69990000.0,67.9,14,2010,2
112250000.0,76.0,15,2011,0
69810000.0,47.4,2,1999,5
1247310000.0,77.8,14,2020,3
41080000.0,37.3,8,1987,0
84880000.0,67.9,10,1989,5
122840000.0,65.2,2,2019,3
83210000.0,50.9,11,1987,3
81240000.0,61.6,11,1992,4
55610000.0,50.8,11,1991,1
62970000.0,42.7,13,1986,5
46690000.0,55.6,16,1989,2
46780000.0,42.1,14,2007,1
73000000.0,67.8,12,2011,2
45340000.0,41.3,16,1988,0
119710000.0,74.8,11,2022,4
52120000.0,40.7,11,1988,5
66620000.0,51.8,9,2012,1
69040000.0,50.8,13,2017,0
112840000.0,85.9,2,2005,0
118230000.0,67.9,9,2004,3
65940000.0,58.2,7,1989,1
64780000.0,71.0,15,1994,2
48700000.0,25.0,2,2019,3
60890000.0,61.2,11,1998,2
112710000.0,98.0,3,1986,0
91140000.0,64.4,15,2014,0
81580000.0,63.2,14,2012,0
101630000.0,71.9,4,1987,4
128480000.0,78.1,14,1987,3
44340000.0,26.0,8,1989,3
45880000.0,31.7,16,1987,3
73490000.0,65.8,12,2009,1
74110000.0,49.1,1,1990,5
107430000.0,85.6,4,2009,1
64480000.0,56.3,7,1992,0
43110000.0,27.2,4,2023,0
39950000.0,39.2,3,2014,2
29470000.0,25.0,16,1999,0
100990000.0,57.8,14,2002,3
51470000.0,58.6,7,1987,2
85030000.0,54.4,4,1987,3
125570000.0,81.4,3,2006,4
